Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2
1,2,1,1,Short,Horizontal,R,2.026,0.012599658
1,2,1,1,Short,Horizontal,L,0.062,3.85E-04
1,2,1,1,Short,Vertical,R,1.053,0.00658125
1,2,1,1,Short,Vertical,L,2.048,0.01279975
1,2,1,1,Short,Diagonal,R,2.076,0.01113541
1,2,1,1,Short,Diagonal,L,2.005,0.009883085
1,2,1,1,Medium,Horizontal,R,4.028,0.011176434
1,2,1,1,Medium,Horizontal,L,3.04,0.008443272
1,2,1,1,Medium,Vertical,R,4.048,0.011217429
1,2,1,1,Medium,Vertical,L,4.067,0.011283127
1,2,1,1,Medium,Diagonal,R,1.066,0.002572082
1,2,1,1,Medium,Diagonal,L,1.06,0.002659307
1,2,1,1,Long,Horizontal,R,3.019,0.005384345
1,2,1,1,Long,Horizontal,L,3.06,0.005458849
1,2,1,1,Long,Vertical,R,5.085,0.009053706
1,2,1,1,Long,Vertical,L,6.054,0.010789661
1,2,1,1,Long,Diagonal,R,5.078,0.008434785
1,2,1,1,Long,Diagonal,L,4.079,0.006731014
1,2,2,1,Short,Horizontal,R,0.098,6.05E-04
1,2,2,1,Short,Horizontal,L,1.049,0.006396341
1,2,2,1,Short,Vertical,R,3.005,0.018590158
1,2,2,1,Short,Vertical,L,2.059,0.012858207
1,2,2,1,Short,Diagonal,R,2.016,0.010443493
1,2,2,1,Short,Diagonal,L,2.037,0.009760387
1,2,2,1,Medium,Horizontal,R,3.079,0.008286468
1,2,2,1,Medium,Horizontal,L,4.018,0.01112981
1,2,2,1,Medium,Vertical,R,4.042,0.011183682
1,2,2,1,Medium,Vertical,L,3.086,0.00856268
1,2,2,1,Medium,Diagonal,R,3.002,0.007450026
1,2,2,1,Medium,Diagonal,L,2.095,0.005626823
1,2,2,1,Long,Horizontal,R,4.06,0.007248336
1,2,2,1,Long,Horizontal,L,3.092,0.005518253
1,2,2,1,Long,Vertical,R,5.071,0.009013548
1,2,2,1,Long,Vertical,L,5.064,0.008956395
1,2,2,1,Long,Diagonal,R,5.081,0.00824628
1,2,2,1,Long,Diagonal,L,2.001,0.00330437
1,2,1,2,Short,Horizontal,R,1.009,0.006288588
1,2,1,2,Long,Diagonal,L,2.071,0.003601298
1,2,2,2,Short,Horizontal,L,0.041,2.52E-04
1,2,2,2,Long,Diagonal,R,0.066,1.09E-04
1,2,1,2,Short,Vertical,R,1.02,0.006304469
1,2,1,2,Long,Vertical,L,1.088,0.001942161
1,2,1,2,Short,Vertical,L,0.097,6.06E-04
1,2,1,2,Long,Vertical,R,3.049,0.00539646
1,2,2,2,Short,Diagonal,R,0.019,8.24E-05
1,2,2,2,Long,Horizontal,L,0.056,1.01E-04
1,2,1,2,Short,Diagonal,L,0.069,3.49E-04
1,2,1,2,Long,Horizontal,R,1.068,0.001895561
1,2,2,2,Medium,Horizontal,R,0.038,1.05E-04
1,2,2,2,Medium,Diagonal,L,0.038,9.62E-05
1,2,1,2,Medium,Horizontal,L,1.043,0.002889186
1,2,1,2,Medium,Diagonal,R,1.096,0.002713986
1,2,2,2,Medium,Vertical,R,0.047,1.27E-04
1,2,2,2,Medium,Vertical,L,0.048,1.31E-04
1,2,1,2,Medium,Vertical,L,1.076,0.002988785
1,2,1,2,Medium,Vertical,R,1.053,0.002924955
