Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2,Average,Reg,OverAllAverage,Relative-Speed,Average1,Average2,average11,Speed1,Speed2
1,2,1,1,Short,Horizontal,R,2.026,0.012599658,0.003373259,0.009226399,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.012599658
1,2,1,1,Short,Horizontal,L,0.062,3.85E-04,0.003373259,-0.002988259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,3.85E-04
1,2,1,1,Short,Vertical,R,1.053,0.00658125,0.003373259,0.003207991,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.00658125
1,2,1,1,Short,Vertical,L,2.048,0.01279975,0.003373259,0.009426491,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.01279975
1,2,1,1,Short,Diagonal,R,2.076,0.01113541,0.003373259,0.007762151,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.01113541
1,2,1,1,Short,Diagonal,L,2.005,0.009883085,0.003373259,0.006509826,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.009883085
1,2,1,1,Medium,Horizontal,R,4.028,0.011176434,0.003373259,0.007803175,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.011176434
1,2,1,1,Medium,Horizontal,L,3.04,0.008443272,0.003373259,0.005070013,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.008443272
1,2,1,1,Medium,Vertical,R,4.048,0.011217429,0.003373259,0.00784417,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.011217429
1,2,1,1,Medium,Vertical,L,4.067,0.011283127,0.003373259,0.007909868,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.011283127
1,2,1,1,Medium,Diagonal,R,1.066,0.002572082,0.003373259,-0.000801177,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.002572082
1,2,1,1,Medium,Diagonal,L,1.06,0.002659307,0.003373259,-0.000713952,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.002659307
1,2,1,1,Long,Horizontal,R,3.019,0.005384345,0.003373259,0.002011086,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.005384345
1,2,1,1,Long,Horizontal,L,3.06,0.005458849,0.003373259,0.00208559,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.005458849
1,2,1,1,Long,Vertical,R,5.085,0.009053706,0.003373259,0.005680447,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.009053706
1,2,1,1,Long,Vertical,L,6.054,0.010789661,0.003373259,0.007416402,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.010789661
1,2,1,1,Long,Diagonal,R,5.078,0.008434785,0.003373259,0.005061526,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.008434785
1,2,1,1,Long,Diagonal,L,4.079,0.006731014,0.003373259,0.003357755,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.006731014
1,2,2,1,Short,Horizontal,R,0.098,6.05E-04,0.003373259,-0.002768259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.006288588
1,2,2,1,Short,Horizontal,L,1.049,0.006396341,0.003373259,0.003023082,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.003601298
