Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2,Average,Reg,Speed1,Speed2,Average1,Average2,Average3,Relative-Speed
13,3,1,1,Short,Horizontal,R,1.05,0.001810827,0.001104771,0.000706056,1,0.001810827,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Short,Horizontal,L,0.045,3.04E-04,0.001104771,-0.000800771,1,3.04E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Short,Vertical,R,0.011,7.05E-05,0.001104771,-0.001034271,1,7.05E-05,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Short,Vertical,L,0.058,3.23E-04,0.001104771,-0.000781771,1,3.23E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Short,Diagonal,R,0.037,1.08E-04,0.001104771,-0.000996771,1,1.08E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Short,Diagonal,L,0.065,2.55E-04,0.001104771,-0.000849771,1,2.55E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Medium,Horizontal,R,1.047,0.00289761,0.001104771,0.001792839,1,0.00289761,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Medium,Horizontal,L,2.087,0.005792843,0.001104771,0.004688072,1,0.005792843,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Medium,Vertical,R,1.066,0.002956086,0.001104771,0.001851315,1,0.002956086,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Medium,Vertical,L,1.014,0.002781247,0.001104771,0.001676476,1,0.002781247,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Medium,Diagonal,R,0.075,1.81E-04,0.001104771,-0.000923771,1,1.81E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Medium,Diagonal,L,1.002,0.002244494,0.001104771,0.001139723,1,0.002244494,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Long,Horizontal,R,1.047,0.001864625,0.001104771,0.000759854,1,0.001864625,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Long,Horizontal,L,4.064,0.00724301,0.001104771,0.006138239,1,0.00724301,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Long,Vertical,R,5.002,0.008923255,0.001104771,0.007818484,1,0.008923255,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Long,Vertical,L,3.055,0.005440078,0.001104771,0.004335307,1,0.005440078,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Long,Diagonal,R,3.038,0.004984637,0.001104771,0.003879866,1,0.004984637,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,1,Long,Diagonal,L,1.069,0.001822034,0.001104771,0.000717263,1,0.001822034,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,1,Short,Horizontal,R,0.023,1.43E-04,0.001104771,-0.000961771,1,0.006391001,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Short,Horizontal,L,0.051,3.18E-04,0.001104771,-0.000786771,1,0.006060437,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Short,Vertical,R,0.036,2.27E-04,0.001104771,-0.000877771,1,0.005722904,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Short,Vertical,L,0.022,1.29E-04,0.001104771,-0.000975771,1,0.003015248,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Short,Diagonal,R,0.043,1.37E-04,0.001104771,-0.000967771,1,0.005371543,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Short,Diagonal,L,0.069,2.30E-04,0.001104771,-0.000874771,1,0.003668076,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Medium,Horizontal,R,0.052,1.45E-04,0.001104771,-0.000959771,1,2.06E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Medium,Horizontal,L,0.053,1.47E-04,0.001104771,-0.000957771,1,2.47E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Medium,Vertical,R,0.044,1.20E-04,0.001104771,-0.000984771,1,1.86E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Medium,Vertical,L,0.063,1.73E-04,0.001104771,-0.000931771,1,2.52E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Medium,Diagonal,R,0.052,1.24E-04,0.001104771,-0.000980771,1,0.005360624,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Medium,Diagonal,L,0.046,1.03E-04,0.001104771,-0.001001771,1,9.57E-05,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Long,Horizontal,R,0.047,8.42E-05,0.001104771,-0.001020571,1,5.90E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Long,Horizontal,L,0.051,9.19E-05,0.001104771,-0.001012871,1,0.00681988,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Long,Vertical,R,0.063,1.12E-04,0.001104771,-0.000992771,1,0.005575853,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Long,Vertical,L,0.05,8.88E-05,0.001104771,-0.001015971,1,0.00442306,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,1,Long,Diagonal,R,0.054,8.81E-05,0.001104771,-0.001016671,1,0.003730565,0.006195928,2.48E-03,5.74E-04,-1.91E-03
